,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
17,2020-02-06,27.38323764009885,11.952419996659211,85.53272787643557,27.38323764009885,27.38323764009885,22.058167294164733,22.058167294164733,22.058167294164733,-4.31258103271354,-4.31258103271354,-4.31258103271354,26.370748326878275,26.370748326878275,26.370748326878275,0.0,0.0,0.0,49.44140493426359
18,2020-02-07,27.905043556467714,11.698020254734569,85.71512963949058,27.905043556467714,27.905043556467714,20.8684653294316,20.8684653294316,20.8684653294316,-5.255470866969562,-5.255470866969562,-5.255470866969562,26.123936196401164,26.123936196401164,26.123936196401164,0.0,0.0,0.0,48.77350888589932
19,2020-02-10,29.47046130557428,16.35223186176716,85.46414973282845,29.47046130557428,29.47046130557428,22.53237237538195,22.53237237538195,22.53237237538195,-2.765059325434786,-2.765059325434786,-2.765059325434786,25.297431700816734,25.297431700816734,25.297431700816734,0.0,0.0,0.0,52.00283368095623
20,2020-02-11,29.992267221943134,10.983595125366627,85.39372313132289,29.992267221943134,29.992267221943134,20.62432166937026,20.62432166937026,20.62432166937026,-4.278624882623084,-4.278624882623084,-4.278624882623084,24.902946551993345,24.902946551993345,24.902946551993345,0.0,0.0,0.0,50.6165888913134
21,2020-02-12,30.514073138311993,14.005715772846349,85.44995419520261,30.514073138311993,30.514073138311993,20.956753851596037,20.956753851596037,20.956753851596037,-3.448980936162914,-3.448980936162914,-3.448980936162914,24.405734787758956,24.405734787758956,24.405734787758956,0.0,0.0,0.0,51.47082698990803
22,2020-02-13,31.035879054680848,14.790586889681283,84.30954495458525,31.035879054680848,31.035879054680848,19.47025691270675,19.47025691270675,19.47025691270675,-4.3125810327161025,-4.3125810327161025,-4.3125810327161025,23.78283794542285,23.78283794542285,23.78283794542285,0.0,0.0,0.0,50.50613596738759
23,2020-02-14,31.557684971049706,12.559278651077474,86.6401091905779,31.557684971049706,31.557684971049706,17.75893504844519,17.75893504844519,17.75893504844519,-5.255470866960874,-5.255470866960874,-5.255470866960874,23.014405915406066,23.014405915406066,23.014405915406066,0.0,0.0,0.0,49.31662001949489
24,2020-02-18,33.64490863652513,13.428615419985736,84.99782928846403,33.64490863652513,33.64490863652513,13.953688092601697,13.953688092601697,13.953688092601697,-4.2786248826268665,-4.2786248826268665,-4.2786248826268665,18.232312975228563,18.232312975228563,18.232312975228563,0.0,0.0,0.0,47.598596729126825
25,2020-02-19,34.166714550622665,12.711974284944793,80.54698276200565,34.166714550622665,34.166714550622665,13.139660595408117,13.139660595408117,13.139660595408117,-3.448980936167914,-3.448980936167914,-3.448980936167914,16.58864153157603,16.58864153157603,16.58864153157603,0.0,0.0,0.0,47.30637514603078
26,2020-02-20,34.68852046472019,10.321398653530647,77.53111358676027,34.68852046472019,34.68852046472019,10.462883754538364,10.462883754538364,10.462883754538364,-4.312581032719711,-4.312581032719711,-4.312581032719711,14.775464787258075,14.775464787258075,14.775464787258075,0.0,0.0,0.0,45.15140421925855
27,2020-02-21,35.21032637881773,7.628381995863712,81.39343076040483,35.21032637881773,35.21032637881773,7.551299220533403,7.551299220533403,7.551299220533403,-5.255470866952185,-5.255470866952185,-5.255470866952185,12.806770087485589,12.806770087485589,12.806770087485589,0.0,0.0,0.0,42.761625599351134
28,2020-02-24,36.77574412111033,5.324462064777899,78.34183605756911,36.77574412111033,36.77574412111033,3.412589242935478,3.412589242935478,3.412589242935478,-2.765059325455456,-2.765059325455456,-2.765059325455456,6.177648568390934,6.177648568390934,6.177648568390934,0.0,0.0,0.0,40.1883333640458
29,2020-02-25,37.29755003520786,1.1924230772826099,72.94377787261672,37.29755003520786,37.29755003520786,-0.46184108726513484,-0.46184108726513484,-0.46184108726513484,-4.2786248826140785,-4.2786248826140785,-4.2786248826140785,3.816783795348944,3.816783795348944,3.816783795348944,0.0,0.0,0.0,36.83570894794273
30,2020-02-26,37.81935594930539,1.4648236358616842,73.9687626786911,37.81935594930539,37.81935594930539,-2.016097489801003,-2.016097489801003,-2.016097489801003,-3.4489809361648787,-3.4489809361648787,-3.4489809361648787,1.4328834463638758,1.4328834463638758,1.4328834463638758,0.0,0.0,0.0,35.803258459504384
31,2020-02-27,38.341161863402924,-3.777623773497439,68.1725912719635,38.341161863402924,38.341161863402924,-5.252159037883423,-5.252159037883423,-5.252159037883423,-4.3125810327037115,-4.3125810327037115,-4.3125810327037115,-0.9395780051797117,-0.9395780051797117,-0.9395780051797117,0.0,0.0,0.0,33.0890028255195
